id;start_date;end_date;language
1;2019-11-12T06:37:34;2019-11-11T23:45:51;FRENCH
2;2019-11-11T17:13:49;2019-11-12T05:59:30;ENGLISH
3;2019-11-11T16:40:16;2019-11-11T18:36:36;FRENCH
4;2019-11-12T04:26:06;2019-11-11T20:47:44;ENGLISH
5;2019-11-12T07:35:41;2019-11-12T08:10:38;FRENCH
6;2019-11-11T13:50:59;2019-11-11T10:52:21;SPANISH
7;2019-11-11T23:01:02;2019-11-12T02:04:09;ENGLISH
8;2019-11-12T00:48:59;2019-11-12T09:13:37;FRENCH
9;2019-11-12T01:23:23;2019-11-12T10:00:47;ENGLISH
10;2019-11-11T18:34:19;2019-11-11T17:57:56;SPANISH
